2020-09-16,16:33:20.677699,24.687
2020-09-16,16:43:21.680049,24.687
2020-09-16,16:53:22.634034,24.500
2020-09-16,17:03:23.566841,24.375
2020-09-16,17:13:24.600617,24.312
2020-09-16,17:23:25.542949,24.250
2020-09-16,17:33:26.458085,24.125
2020-09-16,17:43:27.412799,24.250
2020-09-16,17:53:28.412800,24.375
2020-09-16,18:03:29.394751,24.375
2020-09-16,18:13:30.421534,24.500
2020-09-16,18:23:31.311606,24.437
2020-09-16,18:33:32.342236,24.687
2020-09-16,18:43:33.300841,24.687
2020-09-16,18:53:34.265678,24.812
2020-09-16,19:03:35.255361,24.937
2020-09-16,19:13:36.235892,25.000
2020-09-16,19:23:37.220127,25.000
2020-09-16,19:33:38.180932,25.000
2020-09-16,19:43:39.124659,25.062
2020-09-16,19:53:40.090340,25.125
2020-09-16,20:03:41.065523,25.187
2020-09-16,20:13:41.955572,25.250
2020-09-16,20:23:42.985848,25.125
2020-09-16,20:33:43.912803,25.187
2020-09-16,20:43:44.912816,25.125
2020-09-16,20:53:45.912840,25.125
2020-09-16,21:03:46.911847,25.000
2020-09-16,21:13:47.927068,24.812
2020-09-16,21:23:48.911592,24.687
2020-09-16,21:33:49.882986,24.625
2020-09-16,21:43:50.904165,24.500
2020-09-16,21:53:51.900786,24.437
2020-09-16,22:03:52.855181,24.312
2020-09-16,22:13:53.818582,24.187
2020-09-16,22:23:54.827016,24.125
2020-09-16,22:33:55.784828,24.125
2020-09-16,22:43:56.768736,24.125
2020-09-16,22:53:57.792434,24.000
2020-09-16,23:03:58.823901,24.000
2020-09-16,23:13:59.728669,23.875
2020-09-16,23:24:00.753800,23.812
2020-09-16,23:34:01.783972,23.687
2020-09-16,23:44:02.668368,23.562
2020-09-16,23:54:03.535818,23.562
